feature,shap_value,absolute_shap_value
Feature_811,9.62936541691306e-05,9.62936541691306e-05
Feature_754,-9.623472504642905e-05,9.623472504642905e-05
Feature_157,9.610854409402237e-05,9.610854409402237e-05
Feature_896,9.608041445972049e-05,9.608041445972049e-05
Feature_975,9.599383914633109e-05,9.599383914633109e-05
Feature_60,-9.595203806384234e-05,9.595203806384234e-05
Feature_209,-9.494981084571918e-05,9.494981084571918e-05
Feature_764,-9.433818573597818e-05,9.433818573597818e-05
Feature_146,9.37350573360618e-05,9.37350573360618e-05
Feature_38,9.362963210151065e-05,9.362963210151065e-05
Feature_323,-9.350729692073401e-05,9.350729692073401e-05
Feature_603,-9.180208598650097e-05,9.180208598650097e-05
Feature_72,-9.167592836092808e-05,9.167592836092808e-05
Feature_547,-9.159809391348972e-05,9.159809391348972e-05
Feature_227,-9.157526706530916e-05,9.157526706530916e-05
Feature_847,9.153652956229053e-05,9.153652956229053e-05
Feature_672,-9.152607877695118e-05,9.152607877695118e-05
Feature_363,9.151124737400096e-05,9.151124737400096e-05
Feature_224,8.952590930675796e-05,8.952590930675796e-05
Feature_11,-8.8662574553382e-05,8.8662574553382e-05
Feature_202,-8.826890833006473e-05,8.826890833006473e-05
Feature_314,8.76524791533484e-05,8.76524791533484e-05
Feature_966,-8.641394597361796e-05,8.641394597361796e-05
Feature_538,8.522099012338913e-05,8.522099012338913e-05
Feature_772,-8.493414657095855e-05,8.493414657095855e-05
Feature_415,-8.413593976911216e-05,8.413593976911216e-05
Feature_557,-8.385325949006984e-05,8.385325949006984e-05
Feature_886,8.345351862089956e-05,8.345351862089956e-05
Feature_730,-8.272312990357023e-05,8.272312990357023e-05
Feature_692,-8.255733723672165e-05,8.255733723672165e-05
Feature_286,8.250227134340093e-05,8.250227134340093e-05
Feature_918,8.170509419869632e-05,8.170509419869632e-05
Feature_529,8.166286503183073e-05,8.166286503183073e-05
Feature_112,8.165508595993743e-05,8.165508595993743e-05
Feature_483,8.1458509444019e-05,8.1458509444019e-05
Feature_748,8.041746606522793e-05,8.041746606522793e-05
Feature_991,-7.863623850425938e-05,7.863623850425938e-05
Feature_568,7.839728504904997e-05,7.839728504904997e-05
Feature_144,7.830837758888266e-05,7.830837758888266e-05
Feature_861,7.771738744850155e-05,7.771738744850155e-05
Feature_83,7.758147029790052e-05,7.758147029790052e-05
Feature_222,-7.747280303647131e-05,7.747280303647131e-05
Feature_965,7.702976508880966e-05,7.702976508880966e-05
