feature,importance
Feature_995,0.0013874898494464106
Feature_9,0.001383868375576707
Feature_111,0.001378645786038663
Feature_274,0.001378031628422502
Feature_810,0.0013741452773308115
Feature_15,0.0013675778714332732
Feature_234,0.0013576262732524717
Feature_59,0.0013567746943641363
Feature_739,0.0013513698612802434
Feature_474,0.0013420076449553381
Feature_979,0.001339896355162703
Feature_846,0.001325421648322869
Feature_115,0.001325309983276686
Feature_755,0.0013172604838964203
Feature_343,0.0013082966554333274
Feature_579,0.0013074929331119013
Feature_273,0.0013069850146428294
Feature_421,0.0013042074508837877
Feature_8,0.0013014665578463217
Feature_727,0.0012962928794714714
Feature_836,0.001295280829866175
Feature_561,0.001292056414181897
Feature_339,0.0012913155303134302
Feature_558,0.0012867082399274107
Feature_448,0.0012853680122776978
Feature_140,0.0012770202799248346
Feature_716,0.0012732562823415266
Feature_693,0.0012717483934643484
Feature_676,0.0012700582068689973
Feature_925,0.0012648864447896483
Feature_839,0.001260221966834571
Feature_957,0.0012519737582925728
Feature_219,0.0012504995248187696
Feature_320,0.0012490262308830307
Feature_222,0.001230754409038973
Feature_586,0.0012305179319438446
Feature_732,0.0012249518882192993
Feature_791,0.001223311726024652
Feature_251,0.001214092254593467
Feature_204,0.00120812088707888
Feature_722,0.0012059126315518583
Feature_406,0.0012056341539272474
Feature_118,0.001204895843256671
Feature_127,0.001201526141062615
Feature_663,0.0012012387991509137
Feature_95,0.00119945761194714
Feature_395,0.0011928789604127167
Feature_1010,0.0011915430966217182
Feature_321,0.0011804277159953335
Feature_146,0.0011785154883048933
Feature_192,0.0011779019875536175
Feature_88,0.0011750619104489643
Feature_688,0.0011733943262458473
Feature_135,0.001172631673478778
Feature_650,0.001170247698525761
Feature_119,0.001167133183612377
Feature_237,0.0011647008781363424
Feature_355,0.001162890368517606
Feature_854,0.0011605405710442857
Feature_667,0.0011531402493657264
Feature_976,0.00115259988832828
Feature_640,0.001148857381359786
Feature_132,0.0011434209718897174
Feature_899,0.0011422598806198933
Feature_35,0.001141769117548994
Feature_738,0.0011414850320972886
Feature_758,0.0011402900900100012
Feature_64,0.0011391777988042518
Feature_706,0.0011377611184539955
Feature_748,0.001135589600135079
Feature_145,0.0011325702476236957
Feature_773,0.0011313923597498724
Feature_394,0.0011287530496670649
Feature_584,0.0011269631197019223
Feature_105,0.0011230057050417097
Feature_365,0.001111462721929833
Feature_126,0.001110601261365535
Feature_626,0.0011077547375191296
Feature_428,0.0010976318561238775
Feature_464,0.0010965006052492722
Feature_54,0.001096305126939655
Feature_557,0.0010941004305484565
Feature_42,0.0010928068159421968
Feature_845,0.0010900175729684676
Feature_816,0.0010883114950785212
Feature_750,0.0010869001632298953
Feature_754,0.001086089677226515
Feature_6,0.001085458978803376
Feature_185,0.0010819176705044178
Feature_671,0.0010778323211161403
Feature_787,0.001076606695055889
Feature_242,0.0010739449355820123
Feature_955,0.0010693763172937734
Feature_20,0.0010675148497639763
Feature_26,0.0010661796933930723
Feature_566,0.0010652889969115925
Feature_929,0.0010638255801228992
Feature_437,0.0010625898126981558
Feature_653,0.001062369226817832
Feature_134,0.0010603708943382022
Feature_741,0.0010591912535813251
Feature_172,0.001055164511857154
Feature_1018,0.0010509216041845995
Feature_481,0.0010467646896430787
Feature_701,0.001044421211256996
Feature_786,0.0010444128409672349
Feature_100,0.0010435368372830026
Feature_972,0.0010395922554225858
Feature_369,0.0010390720753432419
Feature_22,0.0010379768985412851
Feature_611,0.0010369257144404913
Feature_328,0.0010285264766215225
Feature_968,0.0010283211444879763
Feature_442,0.0010282102386605645
Feature_801,0.00102610170204841
Feature_378,0.001020332576747326
Feature_745,0.001019227355794484
Feature_597,0.0010157930830267292
Feature_241,0.0010146026007042653
Feature_830,0.0010090779841727259
Feature_180,0.0010082228895640167
Feature_559,0.001004390726675276
Feature_904,0.0010024421946374796
Feature_262,0.0010019410030905336
Feature_227,0.0010015866622880166
Feature_675,0.0009990966225213302
Feature_495,0.0009982053339309817
Feature_456,0.0009949999071121336
Feature_296,0.0009946628354991981
Feature_249,0.000993784125630283
Feature_152,0.0009828534187946542
Feature_949,0.00098169695773809
Feature_713,0.0009740090470444142
Feature_484,0.0009739547434912713
Feature_449,0.0009687443387604452
Feature_647,0.0009687330573062126
Feature_211,0.0009662178434782072
Feature_201,0.0009612028306755369
Feature_114,0.0009589815247274425
Feature_690,0.0009525503442684931
Feature_117,0.000951441720118288
Feature_165,0.0009497354620718923
Feature_388,0.0009491405750161467
Feature_518,0.0009490476338340377
Feature_951,0.0009480993778060856
Feature_549,0.0009473742932581353
Feature_760,0.0009445328994029847
Feature_11,0.0009435539684441626
Feature_80,0.0009365986725659686
Feature_286,0.0009359037104438265
Feature_427,0.0009353748461435825
Feature_999,0.0009323628036297199
Feature_210,0.0009309249182007727
Feature_356,0.0009304697787579631
Feature_317,0.0009290192014401774
Feature_298,0.0009275258668508189
Feature_225,0.0009259372524333748
Feature_465,0.0009241341916198918
Feature_831,0.0009221883567576017
Feature_25,0.0009216603277644549
Feature_870,0.0009211197532536327
Feature_446,0.0009195948916571926
Feature_194,0.0009165852605539256
Feature_131,0.000914298432599351
Feature_883,0.0009105296638642087
Feature_963,0.0009091272609631896
Feature_417,0.0009049107620016911
Feature_594,0.0009029002197566544
Feature_694,0.0009004721962544978
Feature_1015,0.0009002646740773013
Feature_310,0.0008958312796142161
Feature_998,0.0008938130094826824
Feature_781,0.0008866953933924399
Feature_491,0.0008802930798199683
Feature_92,0.0008754297289659515
Feature_364,0.0008726211753031141
Feature_147,0.0008718478830699018
Feature_1003,0.0008716195294703238
Feature_857,0.0008698111747801906
Feature_475,0.0008675295993389944
Feature_478,0.0008610301206741457
Feature_691,0.0008610172941973479
